gate,scope,observed,threshold,gated,passed
G3,2020 construction and extraction occupations,0.0024051233870967885,0.03,True,True
G3,"2020 farming, fishing, and forestry occupations",0.039760099999999965,0.0625,True,True
G3,"2020 installation, maintenance, and repair occupations",0.0017048141509434078,0.03,True,True
G3,"2020 management, business, and financial operations occupations",0.0005992309090908582,0.03,True,True
G3,2020 office and administrative support occupations,0.0008570517133956305,0.029999999999999995,True,True
G3,2020 production occupations,0.0013685129353233384,0.029999999999999995,True,True
G3,2020 professional and related occupations,0.00022479397089398035,0.03,True,True
G3,2020 sales and related occupations,0.0008906360424028163,0.030000000000000002,True,True
G3,2020 service occupations,0.0010927055555554946,0.03,True,True
G3,2020 transportation and material moving occupations,0.0003300938650306343,0.03,True,True
G3,2022 construction and extraction occupations,0.0014110682080925175,0.029999999999999995,True,True
G3,"2022 farming, fishing, and forestry occupations",0.024619050000000087,0.125,True,True
G3,"2022 installation, maintenance, and repair occupations",0.0039554463917525744,0.029999999999999995,True,True
G3,"2022 management, business, and financial operations occupations",0.0006160506925206708,0.03,True,True
G3,2022 office and administrative support occupations,0.00020288597701157896,0.03,True,True
G3,2022 production occupations,0.00027121546391758924,0.029999999999999995,True,True
G3,2022 professional and related occupations,0.00030762525399137915,0.03,True,True
G3,2022 sales and related occupations,0.0011770251461988416,0.03,True,True
G3,2022 service occupations,0.00047973802163821613,0.03,True,True
G3,2022 transportation and material moving occupations,0.00014991318181810956,0.03,True,True
G3,2024 construction and extraction occupations,0.0028811947826087787,0.03,True,True
G3,"2024 farming, fishing, and forestry occupations",0.02402733529411763,0.03,True,True
G3,"2024 installation, maintenance, and repair occupations",0.004605543157894718,0.030000000000000002,True,True
G3,"2024 management, business, and financial operations occupations",0.0005189624172185297,0.030000000000000002,True,True
G3,2024 office and administrative support occupations,0.0009581369696969901,0.030000000000000002,True,True
G3,2024 production occupations,0.0028842140939597,0.03,True,True
G3,2024 professional and related occupations,0.00011553157894742174,0.03,True,True
G3,2024 sales and related occupations,0.0014950276978416702,0.03,True,True
G3,2024 service occupations,0.0012139130030958622,0.03,True,True
G3,2024 transportation and material moving occupations,0.0031659826388889594,0.030000000000000002,True,True
G6D,1984,0.00016546386311300232,0.01,True,True
G6D,1986,0.0005315405579450205,0.01,True,True
G6D,1988,0.00046485641738558403,0.01,True,True
G6D,1990,0.0,0.01,True,True
G6D,1992,0.00019739094511639355,0.01,True,True
G6D,1994,0.0030401650751944453,0.01,True,True
G6D,1996,0.0008342085960252321,0.01,True,True
G6D,1998,0.0017229002208192234,0.01,True,True
G6D,2000,0.0,0.01,True,True
G6D,2002,0.00037296096991068506,0.01,True,True
G6D,2004,0.00027158315335651384,0.01,True,True
G6D,2006,0.0,0.01,True,True
G6D,2008,4.1617091160128794e-05,0.01,True,True
G6D,2010,0.0001443353408031589,0.01,True,True
G6D,2012,0.0009161792136214153,0.01,True,True
G6D,2014,0.0009967260096096497,0.01,True,True
G6D,2016,0.000802233050621548,0.01,True,True
G6D,2018,5.139146013022344e-05,0.01,True,True
G6D,2020,0.0005154332127157435,0.01,True,True
G6D,2022,0.0,0.01,True,True
G6D,2024,0.0,0.01,True,True
G6D-nonresponse,1984,0.004780086261699562,,False,
G6D-nonresponse,1986,0.0,,False,
G6D-nonresponse,1988,0.00019916366835217127,,False,
G6D-nonresponse,1990,0.027032881122882265,,False,
G6D-nonresponse,1992,0.01143219165233184,,False,
G6D-nonresponse,1994,0.013243938064483568,,False,
G6D-nonresponse,1996,0.011721086641348064,,False,
G6D-nonresponse,1998,0.017350250998195142,,False,
G6D-nonresponse,2000,0.01954704675349465,,False,
G6D-nonresponse,2002,0.027219572503107792,,False,
G6D-nonresponse,2004,0.021077192634008715,,False,
G6D-nonresponse,2006,0.026979231088712405,,False,
G6D-nonresponse,2008,0.02896100808849454,,False,
G6D-nonresponse,2010,0.03207639700427087,,False,
G6D-nonresponse,2012,0.027714443254956575,,False,
G6D-nonresponse,2014,0.03899207244574749,,False,
G6D-nonresponse,2016,0.0350518081380878,,False,
G6D-nonresponse,2018,0.036106978758981376,,False,
G6D-nonresponse,2020,0.030344884010941174,,False,
G6D-nonresponse,2022,0.043655549932228525,,False,
G6D-nonresponse,2024,0.028967353126477188,,False,
